created_at,url_title,html_url,author_association,comments
2026-02-04T02:34:56Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49135"">GH-41863: [Python][Parquet] Support lz4_raw as a compression name alias</a>",https://github.com/apache/arrow/pull/49135,FIRST_TIME_CONTRIBUTOR,0
2026-02-03T14:46:31Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/49130"">WIP: Dummy PR to check maint-23.0.1 status</a>",https://github.com/apache/arrow/pull/49130,MEMBER,8
2026-01-26T15:17:12Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48994"">GH-48972: [Python] Add errors='coerce' parameter to pyarrow.compute.cast</a>",https://github.com/apache/arrow/pull/48994,CONTRIBUTOR,0
2026-01-25T12:55:59Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48979"">GH-48978: [Python] test failures on pandas 3.0 (currently CI on 2.3.3) </a>",https://github.com/apache/arrow/pull/48979,CONTRIBUTOR,3
2026-01-23T02:25:19Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48958"">GH-48957: [Benchmarking] Add temporal type support to benchmarks</a>",https://github.com/apache/arrow/pull/48958,MEMBER,1
2026-01-19T13:58:06Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48899"">GH-43510:  [PYTHON] Move NumPy specific tests to separate test file.</a>",https://github.com/apache/arrow/pull/48899,FIRST_TIME_CONTRIBUTOR,1
2026-01-16T13:31:28Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48882"">WIP: Draft PR to test wheels</a>",https://github.com/apache/arrow/pull/48882,MEMBER,61
2026-01-09T02:53:01Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48798"">GH-35830: [C++] Fix fixed-size list scalar hashing with non-zero offsets</a>",https://github.com/apache/arrow/pull/48798,MEMBER,2
2026-01-07T22:26:27Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48769"">GH-33459: [C++][Python] Support step >= 1 in list_slice kernel</a>",https://github.com/apache/arrow/pull/48769,MEMBER,1
2026-01-06T20:10:29Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48746"">GH-48470: [Python] Construct UuidArray from list of UuidScalars</a>",https://github.com/apache/arrow/pull/48746,CONTRIBUTOR,1
2026-01-05T18:48:12Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48727"">GH-48241: [Python] Scalar inferencing doesn't infer UUID</a>",https://github.com/apache/arrow/pull/48727,CONTRIBUTOR,4
2026-01-04T13:58:59Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48719"">GH-48695: [Python][C++] Add max_rows parameter to CSV reader</a>",https://github.com/apache/arrow/pull/48719,FIRST_TIME_CONTRIBUTOR,6
2026-01-02T11:45:42Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48710"">GH-46872: [C++][Python] Move Arange utility function to an Arrow C++</a>",https://github.com/apache/arrow/pull/48710,CONTRIBUTOR,2
2025-12-27T09:16:11Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48669"">GH-48024: [C++][Python] Preserve schema metadata in RenameColumns</a>",https://github.com/apache/arrow/pull/48669,FIRST_TIME_CONTRIBUTOR,1
2025-12-25T06:05:20Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48647"">GH-42018: [Python][C++] Arrow sting types conversion to numpy StringDType</a>",https://github.com/apache/arrow/pull/48647,CONTRIBUTOR,1
2025-12-23T05:49:41Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48628"">GH-48627: [Python] Add PyDecimal_Check(pythopn_decimal) as a ARROW_DCHECK</a>",https://github.com/apache/arrow/pull/48628,MEMBER,1
2025-12-22T19:53:04Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48622"">GH-49103: [Python] Add internal type system stubs (_types, error, _stubs_typing)</a>",https://github.com/apache/arrow/pull/48622,MEMBER,2
2025-12-22T00:15:41Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48618"">GH-49102: [CI] Add type checking infrastructure and CI workflow for type annotations</a>",https://github.com/apache/arrow/pull/48618,MEMBER,32
2025-12-19T22:57:19Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48601"">GH-48593: [C++] C++20: use standard calendar / timezone APIs</a>",https://github.com/apache/arrow/pull/48601,MEMBER,26
2025-12-18T06:27:06Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48581"">GH-22081: [Python] Support reading numpy arrays with ndims > 1 into pa arrays of Lists</a>",https://github.com/apache/arrow/pull/48581,CONTRIBUTOR,2
2025-12-14T16:18:01Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48534"">[Python][Docs] Document file path support for IPC reader source</a>",https://github.com/apache/arrow/pull/48534,FIRST_TIMER,2
2025-12-11T09:39:30Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48458"">GH-48457: [Python] Overflow check in datetime conversion in pa.array</a>",https://github.com/apache/arrow/pull/48458,MEMBER,2
2025-12-11T08:16:54Z,"<a target=""_blank"" href=""https://github.com/apache/arrow/pull/48456"">GH-48455: [Python] Handle nested field names when sanitizing table at ParquetWriter (flavor='spark')</a>",https://github.com/apache/arrow/pull/48456,MEMBER,3
